strategy_id,strategy,limit_id,scope,metric,current_value,watch_threshold,warning_threshold,breach_threshold,utilization,status,action,explanation,hard_limit
CAND_VOL_CARRY_CRASH_FILTER,Volatility Carry With Crash Filter,CAND_VOL_CARRY_CRASH_FILTER_CURRENT_DD,CAND_VOL_CARRY_CRASH_FILTER,current_drawdown,-0.22415398440446033,0.072,0.096,-0.12,1.8679498700371695,breach,Reduce or pause pending human review,Current strategy drawdown versus the live monitoring drawdown limit.,
CAND_TAIL_HEDGE_CRISIS,Tail Hedge Crisis Sleeve,CAND_TAIL_HEDGE_CRISIS_CURRENT_DD,CAND_TAIL_HEDGE_CRISIS,current_drawdown,-0.41107759099207275,0.072,0.096,-0.12,3.4256465916006062,breach,Reduce or pause pending human review,Current strategy drawdown versus the live monitoring drawdown limit.,
CAND_TAIL_HEDGE_CRISIS,Tail Hedge Crisis Sleeve,CAND_TAIL_HEDGE_CRISIS_ROLLING_SHARPE,CAND_TAIL_HEDGE_CRISIS,latest_63d_rolling_sharpe,-2.0692842811053342,-0.7,-0.575,-0.5,3.1385685622106685,warning,Watch for live strategy deterioration,"Latest 63-day rolling Sharpe versus the live deterioration threshold. This is a performance warning, not a standalone hard risk breach.",False
CAND_MERGER_ARB_PROXY,Merger Arbitrage Proxy,CAND_MERGER_ARB_PROXY_CURRENT_DD,CAND_MERGER_ARB_PROXY,current_drawdown,-0.08010236432885764,0.072,0.096,-0.12,0.6675197027404804,watch,Keep,Current strategy drawdown versus the live monitoring drawdown limit.,
CAND_COMMODITY_INFLATION_SHOCK,Commodity Inflation Shock Sleeve,CAND_COMMODITY_INFLATION_SHOCK_ROLLING_VOL,CAND_COMMODITY_INFLATION_SHOCK,latest_63d_rolling_volatility,0.19857260116683895,0.12,0.16000000000000003,0.2,0.9928630058341947,warning,Reduce or hedge,Latest 63-day rolling volatility versus the live monitoring limit.,
CAND_USD_MACRO_PRESSURE,USD Macro Pressure Sleeve,CAND_USD_MACRO_PRESSURE_ROLLING_SHARPE,CAND_USD_MACRO_PRESSURE,latest_63d_rolling_sharpe,-2.234630539437207,-0.7,-0.575,-0.5,3.469261078874414,warning,Watch for live strategy deterioration,"Latest 63-day rolling Sharpe versus the live deterioration threshold. This is a performance warning, not a standalone hard risk breach.",False
CAND_EM_MACRO_RISK,Emerging Markets Macro Risk Sleeve,CAND_EM_MACRO_RISK_ROLLING_SHARPE,CAND_EM_MACRO_RISK,latest_63d_rolling_sharpe,-1.8326011401299231,-0.7,-0.575,-0.5,2.6652022802598463,warning,Watch for live strategy deterioration,"Latest 63-day rolling Sharpe versus the live deterioration threshold. This is a performance warning, not a standalone hard risk breach.",False
CAND_GLOBAL_VALUE_ROTATION,Global Value Rotation,CAND_GLOBAL_VALUE_ROTATION_ROLLING_VOL,CAND_GLOBAL_VALUE_ROTATION,latest_63d_rolling_volatility,0.16757106791135684,0.12,0.16000000000000003,0.2,0.8378553395567842,warning,Reduce or hedge,Latest 63-day rolling volatility versus the live monitoring limit.,
CAND_INDEX_ARBITRAGE_PROXY,Index Arbitrage Proxy,CAND_INDEX_ARBITRAGE_PROXY_CURRENT_DD,CAND_INDEX_ARBITRAGE_PROXY,current_drawdown,-0.933668911786237,0.072,0.096,-0.12,7.780574264885309,breach,Reduce or pause pending human review,Current strategy drawdown versus the live monitoring drawdown limit.,
CAND_INDEX_ARBITRAGE_PROXY,Index Arbitrage Proxy,CAND_INDEX_ARBITRAGE_PROXY_ROLLING_SHARPE,CAND_INDEX_ARBITRAGE_PROXY,latest_63d_rolling_sharpe,-21.608906718359233,-0.7,-0.575,-0.5,42.217813436718465,warning,Watch for live strategy deterioration,"Latest 63-day rolling Sharpe versus the live deterioration threshold. This is a performance warning, not a standalone hard risk breach.",False
